order	mean	sd	month
7	0.09427550716373978	0.03209962417292066	22
8	0.08597499407668999	0.02741440163948244	22
9	0.07942612105413874	0.023971502641908424	22
10	0.07409836606700983	0.021327452116064675	22
11	0.06966439091501488	0.0192222854140808	22
12	0.06590950964643677	0.017498390811287054	22
13	0.06268574564836445	0.016056898925036145	22
14	0.0598868013695903	0.014833297520624074	22
15	0.057433651771801514	0.013783518497485287	22
16	0.05526586721936988	0.01287591638656995	22
17	0.05333617258556303	0.012086609637694557	22
18	0.05160690589067955	0.01139675628875181	22
19	0.0500476307167399	0.010790949001763774	22
20	0.04863347222423923	0.010256260301227818	22
1	0.9999999999999999	0.2559641142630025	23
2	0.2887228019472437	0.16180830396747506	23
3	0.17974211448944064	0.09841405322781359	23
4	0.13429852152268484	0.06630256872402958	23
5	0.10950825857286141	0.04765424380581821	23
6	0.09385170392866689	0.036080613843372696	23
7	0.08302286238596972	0.028464978416287545	23
8	0.0750756740021119	0.02320628329656566	23
9	0.06899711192038709	0.01944034736796528	23
10	0.06420133648847778	0.01666911588965869	23
11	0.06032289302110006	0.014585916192986534	23
12	0.057120995922714204	0.012991343294594521	23
13	0.05443039415281838	0.011750459782077168	23
14	0.05213401821273933	0.01076934742503615	23
15	0.050146782780398774	0.009981297511582075	23
16	0.04840552707220896	0.009338186506692369	23
17	0.04686252454039199	0.008804854903181999	23
18	0.04548116092287988	0.008355332335425576	23
19	0.04423297731971717	0.007970247539839884	23
20	0.04309559891870101	0.007635021136528515	23
1	0.9999999999999999	0.26551361388405026	24
2	0.3036629423635382	0.18834299458940157	24
3	0.18559762458903953	0.12696537396420435	24
4	0.13393668517266594	0.09193201963082925	24
5	0.10517299607132286	0.069905344546568	24
6	0.08682947234082806	0.055302321174449005	24
7	0.07407286739008981	0.045180974155719	24
8	0.06466731691463717	0.037899549405210856	24
9	0.05743583399137516	0.0324911744182153	24
10	0.0516972396487108	0.028359061400412108	24
11	0.04702892403716245	0.025121779482228875	24
12	0.04315452090645434	0.022528996487458663	24
13	0.03988559689384978	0.0204124656427501	24
14	0.037089188731706905	0.01865629685262928	24
15	0.034668731505523104	0.017178552907774952	24
16	0.03255235652755344	0.01591974219184186	24
17	0.030685441560320964	0.01483556373180773	24
18	0.029025713019209965	0.013892280353313032	24
19	0.02753993318200886	0.013063717006909763	24
